city,cause,year,adthnum,adrate
'dlft','death',1991,18691,0.004450373
'dlft','death',1992,19106,0.004549185
'dlft','death',1993,20246,0.004820622
'dlft','death',1994,20251,0.004821812
'dlft','death',1995,20539,0.004890386
'dlft','death',1996,20825,0.004958483
'dlft','death',1997,21034,0.005008247
'dlft','death',1998,21179,0.005042772
'dlft','death',1999,21946,0.005225396
'dlft','death',2000,22589,0.005378496
'elpa','death',1987,2819,0.004147894
'elpa','death',1988,2812,0.004137594
'elpa','death',1989,3036,0.004467189
'elpa','death',1990,2961,0.004356834
'elpa','death',1991,3117,0.004586373
'elpa','death',1992,3135,0.004612858
'elpa','death',1993,3306,0.004864469
'elpa','death',1994,3343,0.004918911
'elpa','death',1995,3343,0.004918911
'elpa','death',1996,3467,0.005101365
'elpa','death',1997,3494,0.005141093
'elpa','death',1998,3604,0.005302948
'elpa','death',1999,3724,0.005479517
'elpa','death',2000,3712,0.00546186
'evan','death',1987,2117,0.012313724
'evan','death',1988,2209,0.01284885
'evan','death',1989,2174,0.012645269
'evan','death',1990,2176,0.012656903
'evan','death',1991,2139,0.012441689
'evan','death',1992,2213,0.012872116
'evan','death',1993,2229,0.012965182
'evan','death',1994,2248,0.013075697
'evan','death',1995,2206,0.0128314
'evan','death',1996,2308,0.013424693
'evan','death',1997,2262,0.013157129
'evan','death',1998,2289,0.013314177
'evan','death',1999,2271,0.013209479
'evan','death',2000,2246,0.013064064
'fres','death',1987,4110,0.005141311
'fres','death',1988,4141,0.00518009
'fres','death',1989,4245,0.005310186
'fres','death',1990,4272,0.005343961
'fres','death',1991,4422,0.0055316
'fres','death',1992,4404,0.005509084
'fres','death',1993,4495,0.005622918
'fres','death',1994,4729,0.005915635
'fres','death',1995,4648,0.00581431
'fres','death',1996,4693,0.005870602
'fres','death',1997,4631,0.005793044
'fres','death',1998,4824,0.006034473
'fres','death',1999,4955,0.006198345
'fres','death',2000,4914,0.006147057
'ftwa','death',1987,2479,0.007470265
'ftwa','death',1988,2536,0.00764203
'ftwa','death',1989,2518,0.007587788
'ftwa','death',1990,2553,0.007693258
'ftwa','death',1991,2516,0.007581762
'ftwa','death',1992,2577,0.00776558
'ftwa','death',1993,2590,0.007804755
'ftwa','death',1994,2537,0.007645043
'ftwa','death',1995,2505,0.007548614
'ftwa','death',1996,2576,0.007762567
'ftwa','death',1997,2634,0.007937345
'ftwa','death',1998,2630,0.007925291
'ftwa','death',1999,2732,0.00823266
'ftwa','death',2000,2695,0.008121164
'gdrp','death',1987,3586,0.006243743
'gdrp','death',1988,3462,0.006027841
'gdrp','death',1989,3453,0.006012171
'gdrp','death',1990,3446,0.005999983
'gdrp','death',1991,3567,0.006210661
'gdrp','death',1992,3370,0.005867656
'gdrp','death',1993,3592,0.00625419
'gdrp','death',1994,3666,0.006383034
'gdrp','death',1995,3650,0.006355176
'gdrp','death',1996,3840,0.006685993
'gdrp','death',1997,3745,0.006520585
'gdrp','death',1998,3799,0.006614606
'gdrp','death',1999,3875,0.006746933
'gdrp','death',2000,3871,0.006739969
'grnb','death',1987,2562,0.006084817
'grnb','death',1988,2603,0.006182193
'grnb','death',1989,2595,0.006163193
'grnb','death',1990,2650,0.006293819
'grnb','death',1991,2705,0.006424446
'grnb','death',1992,2778,0.006597823
'grnb','death',1993,2830,0.006721324
'grnb','death',1994,2811,0.006676198
'grnb','death',1995,2908,0.006906576
'grnb','death',1996,3006,0.007139329
'grnb','death',1997,2940,0.006982577
'grnb','death',1998,2904,0.006897076
'grnb','death',1999,3064,0.00727708
'grnb','death',2000,3176,0.007543083
'hono','death',1987,4311,0.004920357
'hono','death',1988,4137,0.004721762
'hono','death',1989,4426,0.005051612
'hono','death',1990,4576,0.005222814
'hono','death',1991,4634,0.005289012
'hono','death',1992,4669,0.00532896
'hono','death',1993,4962,0.005663375
'hono','death',1994,4879,0.005568643
'hono','death',1995,5137,0.005863111
'hono','death',1996,5256,0.005998932
'hono','death',1997,5170,0.005900776
'hono','death',1998,5331,0.006084533
'hono','death',1999,5520,0.006300248
'hono','death',2000,5512,0.006291117
'hous','death',1987,13614,0.004003437
'hous','death',1988,14380,0.004228693
'hous','death',1989,14609,0.004296034
'hous','death',1990,14869,0.004372492
'hous','death',1991,15175,0.004462477
'hous','death',1992,15159,0.004457772
'hous','death',1993,15760,0.004634506
'hous','death',1994,16179,0.004757721
'hous','death',1995,16262,0.004782128
'hous','death',1996,16222,0.004770366
'hous','death',1997,16510,0.004855057
'hous','death',1998,16455,0.004838883
'hous','death',1999,16726,0.004918576
'hous','death',2000,17117,0.005033556
'hunt','death',1987,1579,0.005706541
'hunt','death',1988,1624,0.005869172
'hunt','death',1989,1727,0.006241417
'hunt','death',1990,1624,0.005869172
'hunt','death',1991,1734,0.006266715
'hunt','death',1992,1733,0.006263101
'hunt','death',1993,1787,0.006458258
'hunt','death',1994,1818,0.006570293
'hunt','death',1995,1842,0.006657029
'hunt','death',1996,1861,0.006725696
'hunt','death',1997,1893,0.006841344
'hunt','death',1998,2010,0.007264185
'hunt','death',1999,1972,0.007126852
'hunt','death',2000,2132,0.007705096
'indi','death',1987,6147,0.007143903
'indi','death',1988,6296,0.007317068
'indi','death',1989,6346,0.007375176
'indi','death',1990,6300,0.007321716
'indi','death',1991,6381,0.007415853
'indi','death',1992,6340,0.007368203
'indi','death',1993,6617,0.007690126
'indi','death',1994,6704,0.007791236
'indi','death',1995,6820,0.007926048
'indi','death',1996,6747,0.007841209
'indi','death',1997,6629,0.007704073
'indi','death',1998,6684,0.007767992
'indi','death',1999,7023,0.00816197
'indi','death',2000,6777,0.007876075
'jcks','death',1987,2292,0.009138756
'jcks','death',1988,2342,0.009338118
'jcks','death',1989,2374,0.00946571
'jcks','death',1990,2297,0.009158692
'jcks','death',1991,2324,0.009266348
'jcks','death',1992,2310,0.009210526
'jcks','death',1993,2402,0.009577352
'jcks','death',1994,2406,0.009593301
'jcks','death',1995,2378,0.009481659
'jcks','death',1996,2457,0.009796651
'jcks','death',1997,2427,0.009677033
'jcks','death',1998,2457,0.009796651
'jcks','death',1999,2393,0.009541467
'jcks','death',2000,2352,0.00937799
'jckv','death',1987,4892,0.006280822
'jckv','death',1988,4902,0.006293661
'jckv','death',1989,4821,0.006189665
'jckv','death',1990,4823,0.006192233
'jckv','death',1991,5057,0.006492664
'jckv','death',1992,4929,0.006328326
'jckv','death',1993,5209,0.006687817
'jckv','death',1994,5454,0.007002371
'jckv','death',1995,5536,0.007107651
'jckv','death',1996,5466,0.007017778
'jckv','death',1997,5443,0.006988248
'jckv','death',1998,5671,0.007280977
